PSN,Campaña Inicial: Nombre,Donante Activo,Tipo de registro de cuenta,Fecha de Captación,Monto Actual,Fecha de Última Donación Global,Segmento RFM,Cantidad Cuotas Pagadas Global,Cantidad Cuotas No Pagadas Global
1020439374,WCB RE-INVERSIÓN 2018,0,Organización,11/7/2018,30000,3/1/2022,,25,33
1020439375,IF4C F2F 3 - 2019,1,Organización,11/5/2018,50000,10/1/2022,,48,9
1020439599,F2F RE-INVERSIÓN 2018,0,Organización,11/12/2018,50000,4/3/2019,,3,53
1020439602,SOYSUVOZ_Facebook-Ads,1,Organización,11/13/2018,50000,10/2/2022,Constantes,50,7
1020439605,,0,Organización,11/19/2018,,11/14/2018,Distantes,1,0
1020439690,,0,Organización,11/21/2018,,11/2/2018,Distantes,1,0
1020439696,IF4C F2F II 2018,0,Organización,11/22/2018,300000,12/1/2020,Constantes,71,14
1020439763,,0,Organización,11/30/2018,,11/8/2019,Distantes,2,0
1020439766,F2F RE-INVERSIÓN 2018,0,Organización,12/2/2018,50000,5/7/2020,Constantes,5,52
1020439771,IF4C F2F II 2018,1,Organización,12/3/2018,42000,10/9/2022,Constantes,52,2
1020439832,F2F RE-INVERSIÓN 2018,0,Organización,11/28/2018,50000,,,0,56
1020439917,IF4C F2F II 2018,0,Organización,12/11/2018,100000,,,0,55
1020439972,,0,Organización,12/11/2018,,12/11/2018,Constantes,1,0
1020440042,IF4C F2F II 2018,0,Organización,12/23/2018,30000,1/13/2020,,6,8
1020440154,SMI_Rescate,0,Organización,1/22/2019,30000,6/5/2019,,5,50
1020440299,WCB REINV 2018 PARA 2019,1,Organización,2/6/2019,80000,10/1/2022,,46,0
1020440572,SMI_Rescate,0,Organización,2/26/2019,20000,,,0,53
1020440444,WCB REINV 2018 PARA 2019,1,Organización,2/13/2019,50000,10/2/2022,,37,17
1020440447,SMI_Rescate,0,Organización,2/18/2019,20000,,,0,0
1020441012,F2F REINV 2018 PARA 2019,1,Organización,3/17/2019,100000,10/1/2022,,30,23
1020441032,WCB REINV 2018 PARA 2019,1,Organización,3/26/2019,50000,10/2/2022,,52,1
1020441485,IF4C F2F 3 - 2019,0,Organización,4/24/2019,100000,12/3/2019,,8,35
1020441495,F2F LOCAL 2017,0,Organización,4/24/2019,20000,4/24/2019,,1,25
1020441944,F2F REINV 2018 PARA 2019,1,Organización,5/11/2019,100000,10/2/2022,,50,0
1020442041,F2F REINV 2018 PARA 2019,0,Organización,5/19/2019,100000,,,0,51
1020442333,F2F REINV 2018 PARA 2019,0,Organización,6/2/2019,50000,3/4/2022,,26,24
1020442339,SPIF F2F 2016,0,Organización,6/6/2019,40000,,,0,50
1020442438,F2F REINV 2018 PARA 2019,0,Organización,6/9/2019,200000,,,0,48
1020442538,F2F REINV 2018 PARA 2019,0,Organización,6/16/2019,30000,5/1/2020,,5,44
1020442722,,0,Organización,9/25/2019,,,,0,1
1020443131,F2F REINV 2018 PARA 2019,0,Organización,6/19/2019,100000,4/1/2020,,10,1
1020443259,,0,Organización,11/15/2017,,4/1/2020,,2,0
1020443261,,0,Organización,7/9/2019,,,,0,0
1020443344,,0,Organización,7/10/2019,,,,0,4
1020443350,,0,Organización,7/10/2019,,,,0,0
1020443355,,0,Organización,7/10/2019,,,,0,2
1020443374,,0,Organización,3/1/2019,,10/31/2022,,47,1
1020443379,,0,Organización,7/15/2019,,,,0,0
1020443382,,0,Organización,7/15/2019,,,,0,0
1020443384,,0,Organización,7/15/2019,,,,0,0
1020443389,,0,Organización,,,,,0,0
1020443390,,0,Organización,6/1/2019,,8/22/2019,,2,0
1020443502,,0,Organización,,,,,0,0
1020443522,F2F REINV 2018 PARA 2019,1,Organización,7/18/2019,30000,10/1/2022,,42,6
1020443535,,0,Organización,7/23/2019,,7/3/2019,,2,0
1020443622,F2F REINV 2018 PARA 2019,1,Organización,7/14/2019,30000,10/2/2022,,48,1
1020443623,F2F REINV 2018 PARA 2019,0,Organización,7/21/2019,2000000,8/1/2019,,1,0
1020443686,F2F REINV 2018 PARA 2019,0,Organización,7/31/2019,300000,11/1/2020,,240,15
1020443690,,0,Organización,,,,,0,0
1020443688,IF4C F2F 3 - 2019,1,Organización,7/23/2019,60000,10/3/2022,,47,0
1020443695,IF4C F2F 3 - 2019,0,Organización,7/25/2019,100000,1/1/2020,,6,1
1020443805,F2F REINV 2018 PARA 2019,1,Organización,7/31/2019,35000,10/1/2022,,43,6
1020444279,SMI_Facebook-Ads,0,Organización,8/22/2019,500000,12/10/2019,,1,3
1020444311,,0,Organización,8/28/2019,,8/17/2019,,1,0
1020444438,WCB REINV 2018 PARA 2019,1,Organización,9/2/2019,50000,10/2/2022,,42,5
1020444560,Mi reto kids 2019 WCB,0,Organización,9/6/2019,50000,10/6/2022,,31,15
1020444572,,0,Organización,9/10/2019,,,,1,1
1020444646,,0,Organización,6/13/2019,,6/13/2019,,1,0
1020444655,,0,Organización,9/17/2019,,,,0,0
1020445102,,0,Organización,9/2/2019,,,,0,0
1020445103,,0,Organización,9/24/2019,,,,0,0
1020445204,F2F REINV 2018 PARA 2019,0,Organización,10/7/2019,20000,10/7/2019,,1,34
1020445315,,0,Organización,7/27/2020,,12/22/2020,,2,0
1020445316,,0,Organización,10/7/2019,,10/9/2019,,0,0
1020445332,,0,Organización,,,,,0,0
1020445520,,0,Organización,5/23/2019,,,,0,0
1020445748,F2F REINVERSION 2019 PARA 2020,0,Organización,9/9/2019,50000,5/1/2022,,7,38
