ID_Donante,CD_Estado,DT_Cancelacion,Importe,DT_Primer_Cobro,DT_Ultima_Donacion,CD_Motivo_Cancelacion
1020466048,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117451,Cerrado,2014-03-25,20000,,,Limpieza de datos
1020316079,Cerrado,2023-04-05,20000,2019-04-01,2022-12-02,Problemas económicos
1020466049,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117469,Cerrado,2018-07-23,31000,,,Sin primer pago
1020438049,Cerrado,2020-01-07,30000,2018-11-01,2020-01-01,Problemas económicos
1020466050,Cerrado,2022-01-15,30000,,,Sin primer pago
1020077804,Cerrado,2019-10-04,30000,2018-11-01,2019-09-03,Problemas económicos
1020466051,Cerrado,2022-03-08,30000,,,Sin primer pago
1020117493,Cerrado,2014-05-27,30000,,,Problemas económicos
1020117501,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020316673,Cerrado,2019-06-27,20000,2018-11-06,2019-06-01,Disminución
1020466053,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117519,Cerrado,2013-07-31,30000,,,Problemas económicos
1020466055,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117527,Cerrado,2013-07-08,30000,,,Problemas económicos
1020117543,Cerrado,2017-07-25,30000,2017-02-24,2017-02-24,Problemas económicos
1020430295,Cerrado,2022-07-06,30000,2018-11-20,2022-07-02,Aumento
1020117550,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020437295,Cerrado,2022-05-31,30000,2018-10-30,2022-05-02,Aumento
1020466060,Cerrado,2022-05-12,30000,,,Sin primer pago
1020117568,Cerrado,2013-09-04,30000,,,Problemas económicos
1020437893,Cerrado,2018-07-31,30000,,,Limpieza de datos
1020466061,Cerrado,2021-12-01,50000,2021-11-19,2021-11-19,Problemas económicos
1020117576,Cerrado,2014-03-12,30000,,,Problemas económicos
1020466062,Cerrado,2022-09-09,30000,2022-01-04,2022-01-04,No reactiva
1020117584,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020466069,Cerrado,2022-01-08,30000,,,Sin primer pago
1020117592,Cerrado,2013-07-08,50000,,,Limpieza de datos
1020410997,Cerrado,2022-03-31,10000,,,Sin primer pago
1020466075,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117600,Cerrado,2016-04-13,30000,2015-01-31,2016-04-30,Problemas económicos
1020466079,Cerrado,2021-12-20,50000,2021-12-09,2021-12-09,Problemas económicos
1020117618,Cerrado,2013-07-08,40000,,,Limpieza de datos
1020437597,Cerrado,2019-01-04,30000,,,Sin primer pago
1020117626,Cerrado,2014-03-18,50000,,,Limpieza de datos
1020016661,Cerrado,2023-04-28,120000,2018-10-25,2023-04-01,Aumento
1020466078,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117634,Cerrado,2013-07-08,40000,,,Limpieza de datos
1020466082,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117659,Cerrado,2013-07-08,40000,,,Problemas económicos
1020466086,Cerrado,2022-03-08,30000,,,Sin primer pago
1020438153,Cerrado,2018-07-31,20000,,,Limpieza de datos
1020466085,Cerrado,2022-03-08,30000,,,Sin primer pago
1020117683,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020438142,Cerrado,2018-07-31,30000,,,Limpieza de datos
1020466087,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117691,Cerrado,2021-12-14,30000,2015-01-31,2021-12-03,Aumento
1020466088,Cerrado,2022-03-08,30000,,,Sin primer pago
1020117709,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020438551,Cerrado,2022-01-06,50000,2018-11-01,2022-01-01,Problemas económicos
1020466089,Cerrado,2022-05-12,30000,,,Sin primer pago
1020117717,Cerrado,2013-12-24,40000,,,Problemas económicos
1020464291,Cerrado,2022-01-07,20000,,,Sin primer pago
1020117725,Cerrado,2013-07-08,40000,,,Limpieza de datos
1020466096,Cerrado,2022-03-09,30000,2022-02-01,2022-02-01,Problemas económicos
1020117733,Cerrado,2015-02-13,30000,,,Problemas económicos
1020466097,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117741,Cerrado,2013-07-08,40000,,,Problemas económicos
1020452527,Cerrado,2022-05-04,30000,2022-02-01,2022-05-01,Problemas económicos
1020117758,Cerrado,2013-11-14,40000,,,Problemas económicos
1020117782,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020216600,Cerrado,2018-07-31,50000,,,Limpieza de datos
1020466100,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117808,Cerrado,2018-07-23,35000,,,Sin primer pago
1020437697,Cerrado,2019-04-11,50000,2018-11-01,2019-04-10,Disminución
1020466101,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117816,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020437393,Cerrado,2018-07-31,30000,,,Limpieza de datos
1020466102,Cerrado,2022-03-08,30000,,,Sin primer pago
1020117824,Cerrado,2019-10-17,20000,2015-01-31,2019-10-01,Otra
1020167704,Cerrado,2020-03-26,50000,2018-11-01,2020-03-15,Mal servicio / Mala atención
1020466103,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117840,Cerrado,2019-06-07,20000,2016-01-31,2019-06-03,Aumento
1020437457,Cerrado,2018-07-31,30000,,,Limpieza de datos
1020465420,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117857,Cerrado,2013-07-24,20000,,,Problemas económicos
1020466104,Cerrado,2022-05-11,30000,2021-12-01,2022-01-01,Problemas económicos
1020117865,Cerrado,2013-11-14,20000,,,Problemas económicos
1020466105,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117873,Cerrado,2018-07-23,20000,,,Sin primer pago
1020380216,Cerrado,2022-03-31,30000,,,Sin primer pago
1020466107,Cerrado,2022-04-27,30000,,,Sin primer pago
1020374326,Cerrado,2019-02-16,30000,2018-12-10,2019-02-15,Disminución
1020117931,Cerrado,2013-07-08,30000,,,Problemas económicos
1020371074,Cerrado,2018-11-08,50000,,,Problemas económicos
1020466109,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117949,Cerrado,2014-03-07,20000,,,Limpieza de datos
1020374037,Cerrado,2022-03-31,30000,,,Sin primer pago
1020117956,Cerrado,2013-07-08,30000,,,Limpieza de datos
1020354575,Cerrado,2019-04-08,20000,2018-11-01,2019-03-04,Disminución
1020447727,Cerrado,2022-03-31,25000,,,Sin primer pago
1020117964,Cerrado,2020-09-04,20000,2015-11-30,2020-09-01,Problemas económicos
1020055735,Cerrado,2018-07-31,20000,,,Limpieza de datos
1020466114,Cerrado,2022-04-27,30000,,,Sin primer pago
1020117972,Cerrado,2013-07-08,30000,,,Problemas económicos
1020117980,Cerrado,2014-02-24,30000,,,Limpieza de datos
1020466115,Cerrado,2022-05-12,30000,,,Sin primer pago
