FK_ID_Donante,FK_CD_Etapa,VL_Importe,DT_Fecha,DT_Primer_Cobro,DT_Ultima_Donacion,FK_CD_Registro,FK_CD_Canal_campana,FK_CD_Sub_Canal_Captacion,DT_Registro_Contable
1020034482,Cobrada,130000.0,2021-01-02,2019-02-01,2021-01-02,DJ - Regular,Multicanal,nan,2021-01-02
1020439832,Perdida,50000.0,2021-09-02,,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020321848,Perdida,1500000.0,2021-03-02,2018-08-15,,PE - Padrinazgo empresarial,Otro,nan,
1020436408,Perdida,30000.0,2021-11-02,2018-06-09,2022-11-05,DJ - Regular,Click to Call,nan,
1020447284,Perdida,30000.0,2021-03-02,2020-03-02,2021-03-12,DJ - Regular,Click to Call,nan,
1020412907,Perdida,70000.0,2021-06-02,2018-09-08,,PE - Padrinazgo empresarial,F2F,nan,
1020412907,Perdida,70000.0,2021-06-02,2018-09-08,,PE - Padrinazgo empresarial,F2F,nan,
1020443805,Cobrada,35000.0,2021-01-02,2019-01-08,2023-01-04,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020449374,Cobrada,30000.0,2021-02-02,2020-08-07,2022-02-09,DJ - Regular,Click to Call,nan,2021-01-02
1020430407,Perdida,50000.0,2021-01-02,,,DJ - Regular,F2F,F2F Vía Pública,
1020430411,Cobrada,50000.0,2021-02-15,2018-08-15,2021-04-05,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2021-02-25
1020430411,Cobrada,50000.0,2021-02-15,2018-08-15,2021-04-05,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2021-02-25
1020140693,Perdida,50000.0,2021-03-02,2015-01-31,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020364889,Cobrada,30000.0,2021-03-02,2018-02-04,2023-03-07,DJ - Regular,Click to Call,nan,2021-01-02
1020006619,Cobrada,30000.0,2021-01-02,2018-01-11,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-02-24
1020386726,Cobrada,100000.0,2021-01-02,2017-10-13,2021-01-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020118061,Perdida,150000.0,2021-01-02,,,DJ - Regular,Otro,nan,
1020374789,Cobrada,30000.0,2021-01-02,2018-05-04,2023-01-05,DJ - Regular,Click to Call,nan,2021-01-02
1020445922,Cobrada,100000.0,2021-03-02,2019-11-28,2021-03-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020440154,Perdida,30000.0,2021-02-22,2019-01-25,,DJ - Regular,Click to Call,Facebook Ads,
1020440572,Perdida,20000.0,2021-02-15,,,DJ - Regular,Click to Call,Facebook Ads,
1020440299,Cobrada,80000.0,2021-01-02,2019-04-03,2022-01-12,DJ - Regular,Click to Call,nan,2021-01-02
1020412648,Perdida,200000.0,2021-01-02,,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020412079,Perdida,25000.0,2021-02-27,2017-01-13,,DJ - Regular,Multicanal,nan,
1020412082,Perdida,25000.0,2021-01-02,2017-01-19,,DJ - Regular,Multicanal,nan,
1020412078,Perdida,25000.0,2021-08-02,2017-01-18,,DJ - Regular,Multicanal,nan,
1020412080,Perdida,25000.0,2021-01-02,2017-01-01,,DJ - Regular,Multicanal,nan,
1020412083,Perdida,25000.0,2021-02-23,2017-02-01,,DJ - Regular,Multicanal,nan,
1020392542,Cobrada,30000.0,2021-03-02,2017-01-12,2021-03-02,DJ - Regular,Click to Call,nan,2021-01-02
1020080055,Perdida,200000.0,2021-01-02,2019-01-07,2021-01-01,DJ - Regular,Multicanal,nan,
1020412103,Perdida,50000.0,2021-04-02,2017-01-03,,DJ - Regular,Multicanal,nan,
1020412092,Cobrada,51500.0,2021-01-02,2017-01-02,2023-01-07,DJ - Regular,Multicanal,nan,2021-10-02
1020073381,Perdida,500000.0,2021-02-28,,,PE - Padrinazgo empresarial,Multicanal,nan,
1020265169,Perdida,3000000.0,2021-02-27,2017-01-27,,DJ - Regular,Otro,nan,
1020164628,Perdida,30000.0,2021-06-02,2018-06-14,,DJ - Regular,F2F,nan,
1020042691,Perdida,30000.0,2021-02-27,2018-04-24,,DJ - Regular,Otro,nan,
1020430405,Perdida,30000.0,2021-02-15,2018-08-08,,DJ - Regular,F2F,F2F Vía Pública,
1020429867,Cobrada,30000.0,2021-03-02,2018-08-15,2023-03-07,DJ - Regular,Click to Call,nan,2021-01-02
1020441944,Cobrada,100000.0,2021-03-02,2019-05-06,2021-03-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020441032,Cobrada,50000.0,2021-03-02,2019-05-04,2023-02-07,PE - Padrinazgo empresarial,Click to Call,nan,2021-01-02
1020398226,Perdida,100000.0,2021-02-15,,,DJ - Regular,Click to Call,nan,
1020412108,Perdida,135000.0,2021-02-02,2017-01-08,,DJ - Regular,Click to Call,nan,
1020442538,Perdida,30000.0,2021-01-02,2019-01-08,,DJ - Regular,F2F,F2F Vía Pública,
1020219141,Cobrada,80000.0,2021-02-02,2019-03-28,2021-02-02,PE - Padrinazgo empresarial,Click to Call,nan,2021-01-02
1020012439,Perdida,65000.0,2021-02-15,2019-01-02,,DJ - Regular,F2F,nan,
1020413428,Cobrada,100000.0,2021-01-02,2018-06-20,2021-01-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020444560,Cobrada,50000.0,2021-06-02,2019-06-09,2023-06-01,DJ - Regular,Telemarketing,TMK Interno,2021-02-17
1020369177,Cobrada,30000.0,2021-01-02,2017-01-05,2023-01-07,DJ - Regular,Click to Call,Facebook Ads,2021-01-02
1020369201,Perdida,25000.0,2021-03-02,2017-04-24,,DJ - Regular,Click to Call,Facebook Ads,
1020411704,Perdida,20000.0,2021-01-02,,,DJ - Regular,Multicanal,nan,
1020447061,Perdida,35000.0,2021-02-15,,,DJ - Regular,F2F,F2F Vía Pública,
1020441495,Perdida,20000.0,2021-02-24,2019-04-24,,DJ - Regular,F2F,F2F Vía Pública,
1020439599,Perdida,50000.0,2021-01-02,2019-02-22,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020443522,Perdida,30000.0,2021-01-02,2019-01-08,2023-01-08,DJ - Regular,F2F,F2F Vía Pública,
1020278840,Perdida,30000.0,2021-12-02,2016-01-31,,DJ - Regular,Otro,nan,
1020283311,Perdida,20000.0,2021-03-02,2016-02-29,,DJ - Regular,Otro,nan,
1020283345,Perdida,100000.0,2021-01-02,2016-02-29,,DJ - Regular,Otro,nan,
1020285324,Perdida,50000.0,2021-01-02,2016-02-29,,DJ - Regular,Otro,nan,
1020290936,Perdida,100000.0,2021-01-02,2016-05-31,,PE - Padrinazgo empresarial,Otro,nan,
1020291264,Cobrada,50000.0,2021-01-02,2016-04-30,2023-01-08,PE - Padrinazgo empresarial,Otro,nan,2021-01-02
1020292411,Cobrada,100000.0,2021-01-02,2016-04-30,2021-01-03,PE - Padrinazgo empresarial,Otro,nan,2021-01-02
1020296438,Perdida,50000.0,2021-01-02,2016-05-31,,DJ - Regular,Otro,nan,
1020297766,Cobrada,100000.0,2021-03-02,2016-05-31,2021-03-02,DJ - Regular,Otro,nan,2021-01-02
1020301576,Cobrada,50000.0,2021-01-02,2016-05-31,2021-01-06,DJ - Regular,Otro,nan,2021-01-02
1020303101,Perdida,20000.0,2021-01-02,2016-05-31,,DJ - Regular,Otro,nan,
1020306823,Perdida,100000.0,2021-03-02,2016-05-31,2023-03-07,DJ - Regular,Digital,nan,
1020310452,Cobrada,200000.0,2021-01-02,2016-06-30,2021-01-03,PE - Padrinazgo empresarial,Otro,nan,2021-01-02
1020311922,Perdida,50000.0,2021-03-02,2016-10-31,2023-03-07,DJ - Regular,F2F,F2F Vía Pública,
1020312185,Cobrada,100000.0,2021-01-02,2016-07-31,2021-01-02,DJ - Regular,F2F,nan,2021-05-02
1020312375,Cobrada,50000.0,2021-01-02,2016-07-31,2021-01-03,DJ - Regular,F2F,nan,2021-03-02
1020321913,Perdida,200000.0,2021-03-02,2016-07-31,,PE - Padrinazgo empresarial,F2F,nan,
1020326326,Perdida,50000.0,2021-01-02,2016-08-31,,DJ - Regular,Otro,nan,
1020326409,Cobrada,20000.0,2021-02-02,2016-09-30,2023-02-07,DJ - Regular,F2F,nan,2021-01-02
1020334270,Perdida,20000.0,2021-01-02,2016-10-31,,DJ - Regular,F2F,nan,
1020340301,Perdida,20000.0,2021-02-15,2016-11-30,,DJ - Regular,F2F,nan,
1020341424,Cobrada,20000.0,2021-01-02,2016-11-30,2023-01-07,DJ - Regular,F2F,nan,2021-01-02
1020346027,Perdida,20000.0,2021-03-02,2016-11-30,,DJ - Regular,Otro,nan,
1020398507,Cobrada,30000.0,2021-01-02,2018-02-01,2021-01-03,DJ - Regular,Click to Call,nan,2021-01-02
1020395453,Perdida,30000.0,2021-03-02,,,DJ - Regular,F2F,F2F Vía Pública,
1020430299,Perdida,100000.0,2021-06-02,2018-07-25,,DJ - Regular,F2F,F2F Vía Pública,
1020252852,Perdida,20000.0,2021-03-02,2015-12-31,,DJ - Regular,F2F,nan,
1020081160,Cobrada,16667.0,2021-03-02,2015-01-31,2023-03-07,DJ - Regular,Otro,nan,2021-01-02
1020081863,Perdida,40000.0,2021-01-02,2015-01-31,,DJ - Regular,Multicanal,nan,
1020085021,Perdida,50000.0,2021-02-15,2015-01-31,,DJ - Regular,Telemarketing,TMK Interno,
1020094262,Cobrada,250000.0,2021-01-02,2015-01-31,2021-01-02,DJ - Regular,Otro,nan,2021-01-02
1020111462,Cobrada,40000.0,2021-01-02,2016-04-30,2023-01-07,DJ - Regular,Otro,nan,2021-01-02
1020113096,Perdida,30000.0,2021-01-02,2015-01-31,,DJ - Regular,Otro,nan,
1020115661,Cobrada,25000.0,2021-01-02,2015-01-31,2023-01-07,DJ - Regular,Otro,nan,2021-01-02
1020121404,Cobrada,200000.0,2021-03-02,2015-01-31,2021-03-02,DJ - Regular,Otro,nan,2021-01-02
1020124721,Perdida,30000.0,2021-03-02,2015-05-31,,DJ - Regular,Otro,nan,
1020132195,Cobrada,100000.0,2021-01-02,2015-04-30,2021-01-02,DJ - Regular,Telemarketing,TMK Interno,2021-01-02
1020132203,Cobrada,20000.0,2021-01-02,2015-04-30,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020132351,Cobrada,50000.0,2021-01-02,2015-04-30,2023-01-07,DJ - Regular,Telemarketing,TMK Interno,2021-01-02
1020132476,Cobrada,20000.0,2021-02-02,2015-05-31,2023-02-08,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020134811,Cobrada,20000.0,2021-02-23,2015-02-28,2023-07-24,DJ - Regular,F2F,F2F Vía Pública,2021-02-22
1020138093,Cobrada,50000.0,2021-01-02,2015-01-31,2021-01-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020142004,Perdida,20000.0,2021-03-02,2015-01-31,,DJ - Regular,F2F,F2F Vía Pública,
1020146666,Perdida,250000.0,2021-01-02,2015-03-31,,DJ - Regular,Otro,nan,
1020156582,Cobrada,117971047.0,2021-12-02,2015-01-31,2023-07-14,DJ - Regular,Otro,nan,2021-05-02
1020161848,Cobrada,30000.0,2021-03-02,2015-03-31,2021-03-11,DJ - Regular,Otro,nan,2021-01-02
1020163935,Cobrada,20000.0,2021-01-02,2015-03-31,2022-01-04,DJ - Regular,F2F,nan,2021-01-02
1020165658,Cobrada,30000.0,2021-02-02,2015-05-31,2023-02-08,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020170070,Cobrada,50000.0,2021-01-02,2015-05-31,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020173116,Cobrada,20000.0,2021-01-02,2015-06-30,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-09-02
1020173124,Perdida,40000.0,2021-01-02,2015-05-31,,DJ - Regular,F2F,nan,
1020174932,Perdida,40000.0,2021-02-15,2015-07-31,,DJ - Regular,Telemarketing,TMK Interno,
1020164792,Cobrada,100000.0,2021-01-02,2015-07-31,2021-01-02,DJ - Regular,F2F,nan,2021-01-02
1020178446,Perdida,100000.0,2021-03-02,2015-05-31,,DJ - Regular,Otro,nan,
1020179469,Perdida,100000.0,2021-01-02,2015-06-30,,DJ - Regular,Otro,nan,
1020180566,Cobrada,50000.0,2021-02-02,2015-12-31,2023-02-08,DJ - Regular,F2F,nan,2021-01-02
1020184600,Perdida,20000.0,2021-01-02,2015-07-31,,DJ - Regular,F2F,nan,
1020185391,Cobrada,20000.0,2021-01-02,2015-07-31,2023-01-07,DJ - Regular,Telemarketing,TMK Interno,2021-01-02
1020214829,Cobrada,100000.0,2021-02-02,2015-10-31,2021-02-02,DJ - Regular,Digital,nan,2021-01-02
1020215636,Perdida,20000.0,2021-02-15,2015-09-30,,DJ - Regular,F2F,nan,
1020222210,Perdida,50000.0,2021-05-02,2015-12-31,,PE - Padrinazgo empresarial,Telemarketing,TMK Interno,
1020223861,Cobrada,20000.0,2021-01-02,2015-10-31,2023-01-08,DJ - Regular,F2F,nan,2021-01-02
1020229157,Perdida,30000.0,2021-01-02,2015-10-31,,DJ - Regular,Telemarketing,TMK Interno,
1020231161,Perdida,20000.0,2021-02-15,2016-02-29,,DJ - Regular,Otro,nan,
1020231641,Perdida,50000.0,2021-03-02,2015-12-31,,DJ - Regular,F2F,F2F Vía Pública,
1020231666,Cobrada,50000.0,2021-01-02,2015-11-30,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020235790,Cobrada,50000.0,2021-01-02,2015-12-31,2023-01-07,PE - Padrinazgo empresarial,F2F,nan,2021-01-02
1020236905,Cobrada,20000.0,2021-01-02,2015-11-30,2023-01-08,DJ - Regular,F2F,nan,2021-01-02
1020447860,Cobrada,20000.0,2021-02-02,2020-12-03,2023-03-07,DJ - Regular,Click to Call,nan,2021-01-02
1020441644,Perdida,100000.0,2021-01-02,,,DJ - Regular,F2F,F2F Vía Pública,
1020369037,Cobrada,50000.0,2021-03-02,2018-05-09,2023-02-07,PE - Padrinazgo empresarial,Digital,nan,2021-01-02
1020398879,Cobrada,50000.0,2021-01-02,2017-10-25,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020447848,Perdida,30000.0,2021-02-13,2020-07-05,,DJ - Regular,Click to Call,nan,
1020429793,Cobrada,30000.0,2021-02-02,2018-03-07,2022-02-02,DJ - Regular,Click to Call,Facebook Ads,2021-01-02
1020423159,Perdida,50000.0,2021-01-02,,,PE - Padrinazgo empresarial,F2F,nan,
1020367270,Cobrada,200000.0,2021-02-02,2017-07-04,2021-02-03,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2021-01-02
1020377857,Cobrada,200000.0,2021-02-02,2017-09-08,2021-02-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020372676,Cobrada,30000.0,2021-02-02,2017-05-24,2021-02-02,DJ - Regular,Click to Call,Facebook Ads,2021-01-02
1020391494,Perdida,30000.0,2021-02-15,2017-10-19,,DJ - Regular,F2F,F2F Vía Pública,
1020391601,Perdida,20000.0,2021-02-15,2017-09-21,2022-03-07,DJ - Regular,Click to Call,nan,
1020042626,Perdida,25000.0,2021-01-02,,,DJ - Regular,Otro,nan,
1020412684,Cobrada,20000.0,2021-01-02,2019-01-30,2023-01-07,DJ - Regular,Click to Call,nan,2021-02-24
1020423355,Cobrada,100000.0,2021-01-02,2020-01-09,2021-01-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020442438,Perdida,200000.0,2021-02-15,,,DJ - Regular,F2F,F2F Vía Pública,
1020411596,Perdida,100000.0,2021-02-15,2017-01-11,,DJ - Regular,F2F,F2F Vía Pública,
1020055834,Cobrada,1000000.0,2021-01-02,2018-10-05,2021-01-02,DJ - Regular,Multicanal,nan,2021-01-02
1020370118,Perdida,30000.0,2021-02-15,2017-05-06,2023-03-07,DJ - Regular,Click to Call,Facebook Ads,
1020447562,Perdida,55000.0,2021-02-20,2020-02-20,,DJ - Regular,Click to Call,nan,
1020404784,Cobrada,100000.0,2021-01-02,2017-01-12,2021-01-02,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020381339,Cobrada,200000.0,2021-01-02,2017-09-08,2021-01-03,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2021-01-02
1020444553,Cobrada,50000.0,2021-06-02,2019-06-09,2023-02-07,PE - Padrinazgo empresarial,Click to Call,Facebook Ads,2021-05-02
1020197420,Cobrada,10000.0,2021-01-02,2019-01-12,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020297899,Cobrada,50000.0,2021-03-02,2017-04-07,2023-03-07,DJ - Regular,Otro,nan,2021-01-02
1020379176,Perdida,30000.0,2021-01-02,2017-12-07,,DJ - Regular,F2F,F2F Vía Pública,
1020443622,Cobrada,30000.0,2021-03-02,2019-02-08,2023-02-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020393219,Perdida,100000.0,2021-02-15,2017-10-19,,DJ - Regular,F2F,F2F Vía Pública,
1020444284,Perdida,100000.0,2021-02-23,2019-09-23,,DJ - Regular,F2F,F2F Vía Pública,
1020353379,Cobrada,100000.0,2021-03-02,2016-12-31,2021-03-02,DJ - Regular,Otro,nan,2021-01-02
1020353874,Cobrada,20000.0,2021-02-02,2017-05-01,2023-02-08,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020356885,Perdida,300000.0,2021-01-02,,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020357800,Cobrada,50000.0,2021-01-02,2017-07-04,2023-01-07,DJ - Regular,F2F,F2F Vía Pública,2021-01-02
1020362214,Perdida,200000.0,2021-01-02,2017-03-15,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
