PSN,Etapa,Importe,Fecha de Donación,Fecha efectiva de primer cobro,Fecha de última donación,Tipo de registro,Canal de la Campaña,Sub Canal Captación,Fecha de Registro Contable
1020034482,Cobrada,130000,2/1/2021,1/2/2019,2/1/2021,DJ - Regular,Multicanal,,2/1/2021
1020439832,Perdida,50000,2/9/2021,,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020321848,Perdida,1500000,2/3/2021,8/15/2018,,PE - Padrinazgo empresarial,Otro,,
1020436408,Perdida,30000,2/11/2021,9/6/2018,5/11/2022,DJ - Regular,Click to Call,,
1020447284,Perdida,30000,2/3/2021,2/3/2020,12/3/2021,DJ - Regular,Click to Call,,
1020412907,Perdida,70000,2/6/2021,8/9/2018,,PE - Padrinazgo empresarial,F2F,,
1020412907,Perdida,70000,2/6/2021,8/9/2018,,PE - Padrinazgo empresarial,F2F,,
1020443805,Cobrada,35000,2/1/2021,8/1/2019,4/1/2023,DJ - Regular,F2F,F2F Vía Pública,2/1/2021
1020449374,Cobrada,30000,2/2/2021,7/8/2020,9/2/2022,DJ - Regular,Click to Call,,2/1/2021
1020430407,Perdida,50000,2/1/2021,,,DJ - Regular,F2F,F2F Vía Pública,
1020430411,Cobrada,50000,2/15/2021,8/15/2018,5/4/2021,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2/25/2021
1020430411,Cobrada,50000,2/15/2021,8/15/2018,5/4/2021,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,2/25/2021
1020140693,Perdida,50000,2/3/2021,1/31/2015,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020364889,Cobrada,30000,2/3/2021,4/2/2018,7/3/2023,DJ - Regular,Click to Call,,2/1/2021
1020006619,Cobrada,30000,2/1/2021,11/1/2018,7/1/2023,DJ - Regular,F2F,F2F Vía Pública,2/24/2021
1020386726,Cobrada,100000,2/1/2021,10/13/2017,2/1/2021,DJ - Regular,F2F,F2F Vía Pública,2/1/2021
1020118061,Perdida,150000,2/1/2021,,,DJ - Regular,Otro,,
1020374789,Cobrada,30000,2/1/2021,4/5/2018,5/1/2023,DJ - Regular,Click to Call,,2/1/2021
1020445922,Cobrada,100000,2/3/2021,11/28/2019,2/3/2021,DJ - Regular,F2F,F2F Vía Pública,2/1/2021
1020440154,Perdida,30000,2/22/2021,1/25/2019,,DJ - Regular,Click to Call,Facebook Ads,
1020440572,Perdida,20000,2/15/2021,,,DJ - Regular,Click to Call,Facebook Ads,
1020440299,Cobrada,80000,2/1/2021,3/4/2019,12/1/2022,DJ - Regular,Click to Call,,2/1/2021
1020412648,Perdida,200000,2/1/2021,,,PE - Padrinazgo empresarial,F2F,F2F Vía Pública,
1020412079,Perdida,25000,2/27/2021,1/13/2017,,DJ - Regular,Multicanal,,
1020412082,Perdida,25000,2/1/2021,1/19/2017,,DJ - Regular,Multicanal,,
1020412078,Perdida,25000,2/8/2021,1/18/2017,,DJ - Regular,Multicanal,,
1020412080,Perdida,25000,2/1/2021,1/1/2017,,DJ - Regular,Multicanal,,
1020412083,Perdida,25000,2/23/2021,1/2/2017,,DJ - Regular,Multicanal,,
1020392542,Cobrada,30000,2/3/2021,12/1/2017,2/3/2021,DJ - Regular,Click to Call,,2/1/2021
1020080055,Perdida,200000,2/1/2021,7/1/2019,1/1/2021,DJ - Regular,Multicanal,,
1020412103,Perdida,50000,2/4/2021,3/1/2017,,DJ - Regular,Multicanal,,
1020412092,Cobrada,51500,2/1/2021,2/1/2017,7/1/2023,DJ - Regular,Multicanal,,2/10/2021
1020073381,Perdida,500000,2/28/2021,,,PE - Padrinazgo empresarial,Multicanal,,
1020265169,Perdida,3000000,2/27/2021,1/27/2017,,DJ - Regular,Otro,,
1020164628,Perdida,30000,2/6/2021,6/14/2018,,DJ - Regular,F2F,,
1020042691,Perdida,30000,2/27/2021,4/24/2018,,DJ - Regular,Otro,,
1020430405,Perdida,30000,2/15/2021,8/8/2018,,DJ - Regular,F2F,F2F Vía Pública,
1020429867,Cobrada,30000,2/3/2021,8/15/2018,7/3/2023,DJ - Regular,Click to Call,,2/1/2021
1020441944,Cobrada,100000,2/3/2021,6/5/2019,2/3/2021,DJ - Regular,F2F,F2F Vía Pública,2/1/2021
