ID_Donante,FK_ID_Campana,CD_Donante_Activo,CD_Tipo_Registro,DT_Captacion,Monto Actual,DT_Ultima_Donacion,FK_ID_Segmento_RFM,VL_Cuotas_Pagadas,VL_Cuotas_No_Pagadas
1020439374,WCB RE-INVERSIÓN 2018,False,Organización,2018-11-07,30000.0,2022-03-01,nan,25,33
1020439375,IF4C F2F 3 - 2019,True,Organización,2018-11-05,50000.0,2022-10-01,nan,48,9
1020439599,F2F RE-INVERSIÓN 2018,False,Organización,2018-11-12,50000.0,2019-04-03,nan,3,53
1020439602,SOYSUVOZ_Facebook-Ads,True,Organización,2018-11-13,50000.0,2022-10-02,Constantes,50,7
1020439605,nan,False,Organización,2018-11-19,,2018-11-14,Distantes,1,0
1020439690,nan,False,Organización,2018-11-21,,2018-11-02,Distantes,1,0
1020439696,IF4C F2F II 2018,False,Organización,2018-11-22,300000.0,2020-12-01,Constantes,71,14
1020439763,nan,False,Organización,2018-11-30,,2019-11-08,Distantes,2,0
1020439766,F2F RE-INVERSIÓN 2018,False,Organización,2018-12-02,50000.0,2020-05-07,Constantes,5,52
1020439771,IF4C F2F II 2018,True,Organización,2018-12-03,42000.0,2022-10-09,Constantes,52,2
1020439832,F2F RE-INVERSIÓN 2018,False,Organización,2018-11-28,50000.0,,nan,0,56
1020439917,IF4C F2F II 2018,False,Organización,2018-12-11,100000.0,,nan,0,55
1020439972,nan,False,Organización,2018-12-11,,2018-12-11,Constantes,1,0
1020440042,IF4C F2F II 2018,False,Organización,2018-12-23,30000.0,2020-01-13,nan,6,8
1020440154,SMI_Rescate,False,Organización,2019-01-22,30000.0,2019-06-05,nan,5,50
1020440299,WCB REINV 2018 PARA 2019,True,Organización,2019-02-06,80000.0,2022-10-01,nan,46,0
1020440572,SMI_Rescate,False,Organización,2019-02-26,20000.0,,nan,0,53
1020440444,WCB REINV 2018 PARA 2019,True,Organización,2019-02-13,50000.0,2022-10-02,nan,37,17
1020440447,SMI_Rescate,False,Organización,2019-02-18,20000.0,,nan,0,0
1020441012,F2F REINV 2018 PARA 2019,True,Organización,2019-03-17,100000.0,2022-10-01,nan,30,23
1020441032,WCB REINV 2018 PARA 2019,True,Organización,2019-03-26,50000.0,2022-10-02,nan,52,1
1020441485,IF4C F2F 3 - 2019,False,Organización,2019-04-24,100000.0,2019-12-03,nan,8,35
1020441495,F2F LOCAL 2017,False,Organización,2019-04-24,20000.0,2019-04-24,nan,1,25
1020441944,F2F REINV 2018 PARA 2019,True,Organización,2019-05-11,100000.0,2022-10-02,nan,50,0
1020442041,F2F REINV 2018 PARA 2019,False,Organización,2019-05-19,100000.0,,nan,0,51
